lemma,pos,neg,score
algojo,0.0,0.0,0.0
algol,0.0,0.0,0.0
algologi,0.0,0.0,0.0
algoritma,0.0,0.0,0.0
algren,0.0,0.0,0.0
alhacen,0.0,0.0,0.0
alhambra,0.0,0.0,0.0
alhasil,0.25,0.0,0.25
alhazen,0.0,0.0,0.0
ali,0.0,0.0,0.0
ali baba,0.0,0.0,0.0
ali-ali,0.0,0.0,0.0
aliansi,0.0,0.0,0.0
aliansi utara,0.0,0.0,0.0
alias,0.0,0.0,0.0
alibi,0.0,0.25,-0.25
alice b. toklas,0.0,0.0,0.0
alice hamilton,0.0,0.0,0.0
alice malsenior walker,0.0,0.0,0.0
alice paul,0.0,0.0,0.0
alice walker,0.0,0.0,0.0
